
     Year         No. of      Temp.       Std.        95% Conf. Interval
      (AD)        Proxies     Anom.       Error       lower        upper
                             (deg. C)
    272.0000     18.0000     -0.0539      0.1364     -0.3267      0.2190
    273.0000     18.0000     -0.0531      0.1364     -0.3260      0.2198
    274.0000     18.0000     -0.0509      0.1364     -0.3238      0.2220
    275.0000     18.0000     -0.0484      0.1364     -0.3213      0.2244
    276.0000     18.0000     -0.0503      0.1364     -0.3232      0.2226
    277.0000     18.0000     -0.0511      0.1364     -0.3240      0.2218
    278.0000     18.0000     -0.0522      0.1364     -0.3251      0.2207
    279.0000     18.0000     -0.0544      0.1364     -0.3273      0.2185
    280.0000     18.0000     -0.0591      0.1364     -0.3320      0.2138
    281.0000     18.0000     -0.0606      0.1364     -0.3335      0.2123
    282.0000     18.0000     -0.0621      0.1364     -0.3350      0.2108
    283.0000     18.0000     -0.0659      0.1364     -0.3388      0.2070
    284.0000     18.0000     -0.0708      0.1364     -0.3437      0.2020
    285.0000     18.0000     -0.0739      0.1364     -0.3468      0.1990
    286.0000     18.0000     -0.0789      0.1364     -0.3518      0.1940
    287.0000     18.0000     -0.0838      0.1364     -0.3567      0.1891
    288.0000     18.0000     -0.0868      0.1364     -0.3597      0.1861
    289.0000     18.0000     -0.0881      0.1364     -0.3610      0.1848
    290.0000     18.0000     -0.0890      0.1364     -0.3619      0.1839
    291.0000     18.0000     -0.0902      0.1364     -0.3631      0.1827
    292.0000     18.0000     -0.0898      0.1364     -0.3627      0.1831
    293.0000     18.0000     -0.0874      0.1364     -0.3603      0.1855
    294.0000     18.0000     -0.0850      0.1364     -0.3578      0.1879
    295.0000     18.0000     -0.0802      0.1364     -0.3531      0.1927
    296.0000     18.0000     -0.0803      0.1364     -0.3532      0.1926
    297.0000     18.0000     -0.0756      0.1364     -0.3485      0.1973
    298.0000     18.0000     -0.0726      0.1364     -0.3455      0.2003
    299.0000     18.0000     -0.0697      0.1364     -0.3426      0.2032
    300.0000     18.0000     -0.0671      0.1364     -0.3400      0.2058
    301.0000     18.0000     -0.0624      0.1364     -0.3353      0.2105
    302.0000     18.0000     -0.0585      0.1364     -0.3314      0.2143
    303.0000     18.0000     -0.0553      0.1364     -0.3282      0.2175
    304.0000     18.0000     -0.0528      0.1364     -0.3257      0.2201
    305.0000     18.0000     -0.0448      0.1364     -0.3177      0.2281
    306.0000     18.0000     -0.0431      0.1364     -0.3160      0.2298
    307.0000     18.0000     -0.0404      0.1364     -0.3133      0.2325
    308.0000     18.0000     -0.0369      0.1364     -0.3098      0.2360
    309.0000     18.0000     -0.0297      0.1364     -0.3026      0.2432
    310.0000     18.0000     -0.0265      0.1364     -0.2994      0.2464
    311.0000     18.0000     -0.0251      0.1364     -0.2980      0.2478
    312.0000     18.0000     -0.0223      0.1364     -0.2951      0.2506
    313.0000     18.0000     -0.0172      0.1364     -0.2901      0.2557
    314.0000     18.0000     -0.0140      0.1364     -0.2869      0.2589
    315.0000     18.0000     -0.0075      0.1364     -0.2804      0.2654
    316.0000     18.0000     -0.0011      0.1364     -0.2740      0.2718
    317.0000     18.0000      0.0041      0.1364     -0.2688      0.2770
    318.0000     18.0000      0.0091      0.1364     -0.2637      0.2820
    319.0000     18.0000      0.0141      0.1364     -0.2587      0.2870
    320.0000     18.0000      0.0193      0.1364     -0.2535      0.2922
    321.0000     18.0000      0.0245      0.1364     -0.2484      0.2974
    322.0000     18.0000      0.0279      0.1364     -0.2450      0.3007
    323.0000     18.0000      0.0294      0.1364     -0.2435      0.3023
    324.0000     18.0000      0.0299      0.1364     -0.2430      0.3027
    325.0000     18.0000      0.0338      0.1364     -0.2391      0.3067
    326.0000     18.0000      0.0360      0.1364     -0.2369      0.3089
    327.0000     18.0000      0.0393      0.1364     -0.2336      0.3122
    328.0000     18.0000      0.0426      0.1364     -0.2303      0.3155
    329.0000     18.0000      0.0448      0.1364     -0.2281      0.3177
    330.0000     18.0000      0.0446      0.1364     -0.2283      0.3175
    331.0000     18.0000      0.0463      0.1364     -0.2266      0.3192
    332.0000     18.0000      0.0450      0.1364     -0.2279      0.3178
    333.0000     18.0000      0.0481      0.1364     -0.2248      0.3210
    334.0000     18.0000      0.0537      0.1364     -0.2192      0.3266
    335.0000     18.0000      0.0568      0.1364     -0.2161      0.3297
    336.0000     18.0000      0.0608      0.1364     -0.2121      0.3337
    337.0000     18.0000      0.0639      0.1364     -0.2090      0.3368
    338.0000     18.0000      0.0659      0.1364     -0.2070      0.3388
    339.0000     18.0000      0.0681      0.1364     -0.2048      0.3409
    340.0000     18.0000      0.0725      0.1364     -0.2003      0.3454
    341.0000     18.0000      0.0770      0.1364     -0.1958      0.3499
    342.0000     18.0000      0.0797      0.1364     -0.1931      0.3526
    343.0000     18.0000      0.0839      0.1364     -0.1890      0.3568
    344.0000     18.0000      0.0875      0.1364     -0.1854      0.3604
    345.0000     18.0000      0.0914      0.1364     -0.1815      0.3642
    346.0000     18.0000      0.0917      0.1364     -0.1812      0.3646
    347.0000     18.0000      0.0937      0.1364     -0.1791      0.3666
    348.0000     18.0000      0.0953      0.1364     -0.1776      0.3681
    349.0000     18.0000      0.0972      0.1364     -0.1756      0.3701
    350.0000     18.0000      0.0988      0.1364     -0.1741      0.3717
    351.0000     18.0000      0.1007      0.1364     -0.1722      0.3736
    352.0000     18.0000      0.1034      0.1364     -0.1695      0.3763
    353.0000     18.0000      0.1055      0.1364     -0.1674      0.3784
    354.0000     18.0000      0.1062      0.1364     -0.1667      0.3790
    355.0000     18.0000      0.1046      0.1364     -0.1683      0.3775
    356.0000     18.0000      0.1024      0.1364     -0.1704      0.3753
    357.0000     18.0000      0.0997      0.1364     -0.1732      0.3725
    358.0000     18.0000      0.0985      0.1364     -0.1744      0.3714
    359.0000     18.0000      0.0988      0.1364     -0.1741      0.3716
    360.0000     18.0000      0.0989      0.1364     -0.1740      0.3718
    361.0000     18.0000      0.0991      0.1364     -0.1738      0.3720
    362.0000     18.0000      0.0948      0.1364     -0.1781      0.3677
    363.0000     18.0000      0.0899      0.1364     -0.1830      0.3628
    364.0000     18.0000      0.0865      0.1364     -0.1864      0.3593
    365.0000     18.0000      0.0817      0.1364     -0.1912      0.3546
    366.0000     18.0000      0.0773      0.1364     -0.1956      0.3502
    367.0000     18.0000      0.0745      0.1364     -0.1984      0.3474
    368.0000     18.0000      0.0723      0.1364     -0.2006      0.3452
    369.0000     18.0000      0.0696      0.1364     -0.2033      0.3425
    370.0000     18.0000      0.0664      0.1364     -0.2065      0.3392
    371.0000     18.0000      0.0642      0.1364     -0.2087      0.3371
    372.0000     18.0000      0.0604      0.1364     -0.2125      0.3333
    373.0000     18.0000      0.0548      0.1364     -0.2181      0.3277
    374.0000     18.0000      0.0485      0.1364     -0.2244      0.3213
    375.0000     18.0000      0.0459      0.1364     -0.2270      0.3188
    376.0000     18.0000      0.0405      0.1364     -0.2324      0.3134
    377.0000     18.0000      0.0342      0.1364     -0.2387      0.3071
    378.0000     18.0000      0.0277      0.1364     -0.2452      0.3005
    379.0000     18.0000      0.0189      0.1364     -0.2540      0.2918
    380.0000     18.0000      0.0114      0.1364     -0.2615      0.2843
    381.0000     18.0000      0.0039      0.1364     -0.2690      0.2767
    382.0000     18.0000     -0.0016      0.1364     -0.2745      0.2713
    383.0000     18.0000     -0.0088      0.1364     -0.2817      0.2641
    384.0000     18.0000     -0.0136      0.1364     -0.2864      0.2593
    385.0000     18.0000     -0.0176      0.1364     -0.2905      0.2552
    386.0000     18.0000     -0.0216      0.1364     -0.2945      0.2513
    387.0000     18.0000     -0.0258      0.1364     -0.2987      0.2471
    388.0000     18.0000     -0.0318      0.1364     -0.3047      0.2410
    389.0000     18.0000     -0.0400      0.1364     -0.3129      0.2328
    390.0000     18.0000     -0.0453      0.1364     -0.3182      0.2276
    391.0000     18.0000     -0.0520      0.1364     -0.3249      0.2209
    392.0000     18.0000     -0.0587      0.1364     -0.3316      0.2142
    393.0000     18.0000     -0.0644      0.1364     -0.3373      0.2085
    394.0000     18.0000     -0.0707      0.1364     -0.3436      0.2022
    395.0000     18.0000     -0.0739      0.1364     -0.3468      0.1990
    396.0000     18.0000     -0.0775      0.1364     -0.3504      0.1954
    397.0000     18.0000     -0.0816      0.1364     -0.3545      0.1913
    398.0000     18.0000     -0.0848      0.1364     -0.3577      0.1881
    399.0000     18.0000     -0.0860      0.1364     -0.3588      0.1869
    400.0000     18.0000     -0.0856      0.1364     -0.3585      0.1873
    401.0000     18.0000     -0.0852      0.1364     -0.3580      0.1877
    402.0000     18.0000     -0.0831      0.1364     -0.3560      0.1897
    403.0000     18.0000     -0.0817      0.1364     -0.3546      0.1912
    404.0000     18.0000     -0.0801      0.1364     -0.3530      0.1927
    405.0000     18.0000     -0.0815      0.1364     -0.3544      0.1914
    406.0000     18.0000     -0.0785      0.1364     -0.3514      0.1944
    407.0000     18.0000     -0.0752      0.1364     -0.3481      0.1977
    408.0000     18.0000     -0.0716      0.1364     -0.3445      0.2013
    409.0000     18.0000     -0.0680      0.1364     -0.3409      0.2049
    410.0000     18.0000     -0.0617      0.1364     -0.3346      0.2112
    411.0000     18.0000     -0.0584      0.1364     -0.3313      0.2145
    412.0000     18.0000     -0.0518      0.1364     -0.3247      0.2211
    413.0000     18.0000     -0.0467      0.1364     -0.3196      0.2262
    414.0000     18.0000     -0.0418      0.1364     -0.3147      0.2311
    415.0000     18.0000     -0.0375      0.1364     -0.3104      0.2354
    416.0000     18.0000     -0.0301      0.1364     -0.3030      0.2428
    417.0000     18.0000     -0.0243      0.1364     -0.2972      0.2486
